set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,5430,450,23,525960,3549,2256621,2448682
2,102400,6235,471,28,619802,2614,2569291,2937025
5,102400,8336,506,41,824788,492,3423606,4218991
6,102400,9348,506,46,927302,623,3843242,4731495
7,102400,10413,504,51,1031772,798,4281312,5248409
8,102400,13583,424,56,1133863,574,5566610,5759591
10,102400,15992,424,66,1340783,687,6547982,6789092
100,102400,106835,495,517,10599856,2846,43614306,52981434
200,102400,207721,502,1018,20886440,4455,84773630,104302879
500,102400,510499,505,2522,51747864,7308,208278048,258271165
1000,102400,1014923,507,5028,103184376,10299,414088105,514888230
10000,102400,10094307,508,50135,1029012017,45451,4118398570,5133886078
