set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,1542,1409,21,415947,668,1890911,2173957
2,102400,1794,1490,26,514234,275,2177445,2674523
5,102400,2857,1475,41,823588,419,3452810,4216166
6,102400,3190,1482,46,925984,408,3854336,4728122
7,102400,3543,1479,51,1029277,455,4275441,5242533
8,102400,4675,1231,56,1131859,542,5601436,5755299
10,102400,5429,1247,66,1335256,405,6542467,6775323
100,102400,36195,1461,516,10566074,1224,43460596,52894412
200,102400,70399,1479,1017,20823866,2124,84508302,104141339
500,102400,172974,1490,2518,51590610,3888,207600689,257864649
1000,102400,343942,1494,5020,102872841,5973,412769591,514081601
10000,102400,3421243,1498,50058,1025936021,20688,4105500061,5125943712
