set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,2771,877,23,686175,3355,3360299,2430404
2,102400,1625,1806,28,606545,3279,1973356,2935171
5,102400,1878,2242,41,824035,144,2271007,4211846
6,102400,2062,2293,46,928837,332,2493725,4729073
7,102400,2229,2351,51,1031016,283,2694923,5240944
8,102400,2390,2404,56,1131164,146,2884975,5747846
10,102400,2741,2472,66,1338617,311,3309543,6778006
100,102400,19323,2736,516,10665199,7507,23210587,52876320
200,102400,36406,2859,1016,20912770,8154,43707134,104094066
500,102400,87656,2940,2517,51657259,8704,105208344,257750533
1000,102400,173076,2968,5018,102899518,9119,207711819,513847619
10000,102400,1710733,2994,50035,1025263986,18120,2052841716,5123614864
