set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,2992,725,21,414531,544,1828410,2169683
2,102400,3626,739,26,516311,396,2199080,2679859
5,102400,5664,744,41,823590,382,3420054,4216161
6,102400,6386,741,46,929657,594,3856854,4738197
7,102400,7023,746,51,1028082,382,4235510,5239413
8,102400,9237,623,56,1134073,514,5564824,5760642
10,102400,10859,624,66,1338922,993,6538884,6784903
100,102400,72678,728,517,10584134,2190,43565867,52941161
200,102400,141027,739,1017,20854887,3440,84638532,104221622
500,102400,346544,744,2520,51672775,5902,207950184,258077391
1000,102400,689156,746,5024,103036977,7874,413501911,514510634
10000,102400,6853856,748,50098,1027529388,31883,4112264576,5130068694
