set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,2239,970,21,415899,683,1862397,2173718
2,102400,2639,1013,26,514233,177,2174189,2674520
5,102400,4178,1009,41,823587,429,3432766,4216141
6,102400,4694,1008,46,928588,553,3854714,4734920
7,102400,5167,1014,51,1028089,355,4237675,5239415
8,102400,6783,848,56,1132273,493,5558209,5756002
10,102400,7975,850,66,1337135,509,6529397,6780286
100,102400,53274,993,516,10574435,1471,43496580,52916082
200,102400,103608,1005,1017,20838950,2585,84567580,104180664
500,102400,254579,1013,2519,51629710,4933,207760386,257966417
1000,102400,506195,1015,5022,102947372,7235,413087986,514275950
10000,102400,5035259,1018,50077,1026689321,27312,4108697010,5127905264
