set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,1234,1752,21,411836,508,1789245,2162537
2,102400,1619,1659,26,518347,825,2324608,2685957
5,102400,2388,1763,41,821429,205,3402974,4210521
6,102400,2719,1738,46,925992,464,3876140,4728158
7,102400,3004,1744,51,1028383,1085,4285649,5240126
8,102400,3928,1464,56,1131231,435,5588617,5753306
10,102400,4608,1471,66,1336468,466,6551246,6778456
100,102400,30671,1724,516,10564225,1216,43457592,52889538
200,102400,59642,1745,1016,20817719,2102,84481321,104125140
500,102400,146546,1759,2517,51577049,3702,207538344,257828889
1000,102400,291404,1763,5019,102848354,5496,412671953,514016946
10000,102400,2898752,1768,50051,1025692349,17942,4104530933,5125302010
