set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,1773,1224,21,414798,630,1833699,2170321
2,102400,2137,1251,26,514229,270,2175771,2674521
5,102400,3402,1239,41,823590,420,3452973,4216162
6,102400,3801,1244,46,927010,437,3859613,4730862
7,102400,4199,1248,51,1028833,439,4256924,5241310
8,102400,5498,1046,56,1132338,1221,5565713,5756298
10,102400,6451,1050,66,1335281,806,6526891,6775398
100,102400,43105,1227,516,10569757,1471,43473982,52904150
200,102400,83832,1242,1017,20829390,2396,84540802,104155910
500,102400,206008,1251,2518,51608168,4530,207683034,257911056
1000,102400,409590,1255,5021,102903669,6497,412894386,514163435
10000,102400,4074310,1258,50066,1026247058,24143,4106856404,5126764624
