set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,1924,1128,21,571533,439,3117833,2170962
2,102400,1019,2625,26,516793,150,1655527,2675846
5,102400,1401,3006,41,823963,147,2269741,4211846
6,102400,1539,3074,46,929653,357,2493671,4731007
7,102400,1656,3161,51,1028732,146,2679532,5235846
8,102400,1789,3215,56,1133438,306,2895962,5752911
10,102400,2039,3321,66,1335943,146,3293849,6771846
100,102400,14428,3664,516,10665153,7506,23221553,52875756
200,102400,27158,3832,1016,20907784,7833,43687154,104082191
500,102400,65440,3938,2516,51648405,8878,105206588,257729706
1000,102400,129135,3978,5017,102879547,9397,207665216,513802180
10000,102400,1276288,4014,50030,1025043657,18778,2052267826,5123106188
