set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,3641,596,21,597967,466,2992091,2172871
2,102400,2022,1325,26,518872,289,1667617,2680243
5,102400,2761,1525,41,824009,147,2270067,4211846
6,102400,3024,1563,46,928408,297,2485792,4728183
7,102400,3274,1600,51,1030714,297,2689656,5240204
8,102400,3535,1628,56,1134928,371,2903195,5755906
10,102400,4029,1682,66,1338164,305,3305654,6776911
100,102400,28424,1860,516,10669388,7869,23214770,52885486
200,102400,53556,1943,1016,20920351,8527,43720099,104111185
500,102400,128970,1998,2517,51679670,9411,105258453,257802310
1000,102400,254634,2018,5018,102938385,10276,207799381,513937227
10000,102400,2516959,2036,50044,1025660438,28929,2053811565,5124532354
