set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,3125,694,21,571435,433,3170032,2170588
2,102400,1626,1645,26,516896,149,1655637,2675846
5,102400,2247,1876,41,826403,309,2283197,4216911
6,102400,2454,1927,46,929733,348,2491695,4731016
7,102400,2641,1982,51,1028796,150,2679484,5235846
8,102400,2858,2013,56,1133888,330,2899605,5754066
10,102400,3261,2078,66,1338030,306,3305690,6776707
100,102400,22999,2299,516,10666566,7673,23202320,52879366
200,102400,43346,2401,1016,20916372,8343,43711684,104101996
500,102400,104371,2469,2517,51665667,9138,105224316,257769955
1000,102400,206070,2493,5018,102913982,9782,207737576,513881624
10000,102400,2036968,2515,50038,1025423768,24899,2053208589,5123983453
