set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,8090,302,23,692122,3349,3330539,2444933
2,102400,4766,617,28,610413,2921,1964144,2944035
5,102400,5570,758,41,828942,407,2291044,4222138
6,102400,6045,782,46,928333,275,2484715,4728145
7,102400,6567,798,51,1032870,351,2697956,5245002
8,102400,7061,815,56,1134960,331,2899019,5756465
10,102400,8065,840,66,1339718,324,3308949,6780157
100,102400,56936,929,516,10682064,8615,23248966,52915072
200,102400,107283,971,1017,20948131,9129,43790611,104175200
500,102400,258317,998,2518,51741620,10296,105412410,257944001
1000,102400,510178,1007,5021,103070249,12845,208147012,514238804
10000,102400,5041359,1017,50071,1026896458,49186,2056824559,5127359839
