set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,2080,1040,21,593709,171,2965113,2163846
2,102400,1172,2288,26,519885,376,1678508,2682406
5,102400,1591,2647,41,823941,145,2269759,4211846
6,102400,1744,2711,46,928668,321,2487804,4728933
7,102400,1880,2785,51,1028739,149,2679362,5235846
8,102400,2035,2827,56,1133922,324,2900088,5753780
10,102400,2315,2925,66,1335987,153,3293983,6771846
100,102400,16366,3230,516,10662984,7360,23195329,52871131
200,102400,30849,3374,1016,20911017,8036,43700686,104089506
500,102400,74270,3470,2516,51651187,8878,105185763,257736972
1000,102400,146680,3502,5017,102887329,9557,207689862,513819012
10000,102400,1449551,3534,50032,1025139170,20958,2052581300,5123323594
