set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,1636,1322,21,568113,170,2966985,2163846
2,102400,910,2940,26,516748,148,1655366,2675846
5,102400,1265,3334,41,827178,376,2296333,4218413
6,102400,1365,3460,46,926368,147,2474649,4723846
7,102400,1485,3529,51,1031187,308,2692959,5240933
8,102400,1596,3602,56,1131799,208,2889348,5748996
10,102400,1820,3720,66,1335948,149,3293754,6771846
100,102400,12895,4100,516,10665992,7516,23236221,52876634
200,102400,24258,4290,1016,20905855,7679,43684059,104077867
500,102400,58422,4411,2516,51643381,8685,105178370,257717814
1000,102400,115347,4454,5017,102872263,9298,207644398,513785561
10000,102400,1140128,4493,50028,1024984705,18264,2052196446,5122966192
